Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71052, endAsk:71052, highAsk:71052, lowAsk:71052, avgAsk:71052, avgAskSize:2.547, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71052, endAsk:71052, highAsk:71052, lowAsk:71052, avgAsk:71052, avgAskSize:2.547, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71052, endAsk:71052, highAsk:71052, lowAsk:71052, avgAsk:71052, avgAskSize:2.547, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71057, highAsk:71057, lowAsk:71057, avgAsk:71057, avgAskSize:1.2673, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71057, highAsk:71057, lowAsk:71057, avgAsk:71057, avgAskSize:1.2673, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71057, highAsk:71057, lowAsk:71057, avgAsk:71057, avgAskSize:1.2673, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71057, highAsk:71057, lowAsk:71057, avgAsk:71057, avgAskSize:1.2673, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71057, highAsk:71057, lowAsk:71057, avgAsk:71057, avgAskSize:1.2673, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71057, highAsk:71057, lowAsk:71057, avgAsk:71057, avgAskSize:1.2673, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71057, highAsk:71057, lowAsk:71057, avgAsk:71057, avgAskSize:1.2673, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71057, highAsk:71057, lowAsk:71057, avgAsk:71057, avgAskSize:1.2673, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71057, highAsk:71057, lowAsk:71057, avgAsk:71057, avgAskSize:1.2673, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:51, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71057, highAsk:71057, lowAsk:71057, avgAsk:71057, avgAskSize:1.2673, bid_quote_count:18, ask_quote_count:18
Bar at time: 2026-03-18 22:08:52, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71057, endAsk:71044, highAsk:71087, lowAsk:71033, avgAsk:71044, avgAskSize:1.26815, bid_quote_count:64, ask_quote_count:64
Bar at time: 2026-03-18 22:08:55, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71044, endAsk:71077, highAsk:71077, lowAsk:71044, avgAsk:71077, avgAskSize:1.2657, bid_quote_count:32, ask_quote_count:32
Bar at time: 2026-03-18 22:08:55, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71077, endAsk:71077, highAsk:71077, lowAsk:71077, avgAsk:71077, avgAskSize:1.2657, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:55, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71090, endAsk:71090, highAsk:71090, lowAsk:71090, avgAsk:71090, avgAskSize:2.57637, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:57, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71076, endAsk:71066, highAsk:71076, lowAsk:71066, avgAsk:71066, avgAskSize:2.567, bid_quote_count:30, ask_quote_count:30
Bar at time: 2026-03-18 22:08:57, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71066, endAsk:71066, highAsk:71066, lowAsk:71066, avgAsk:71066, avgAskSize:2.567, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:57, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71076, endAsk:71082, highAsk:71082, lowAsk:71076, avgAsk:71082, avgAskSize:2.5554, bid_quote_count:31, ask_quote_count:31
Bar at time: 2026-03-18 22:09:24, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71082, endAsk:71054, highAsk:71111, lowAsk:71054, avgAsk:71054, avgAskSize:1.2836, bid_quote_count:32, ask_quote_count:32
